{ itemsLabel = players }
aardsda01 | David Aardsma
abbotpa01 | Paul Abbott
abreubo01 | Bobby Abreu
acevejo01 | Jose Acevedo
adamsmi03 | Mike Adams
adamsru01 | Russ Adams
adamste01 | Terry Adams
adkinjo01 | Jon Adkins
affelje01 | Jeremy Affeldt
aguilch01 | Chris Aguila
ainswku01 | Kurt Ainsworth
alexama02 | Manny Alexander
alfarja01 | Jason Alfaro
alfonan01 | Antonio Alfonseca
alfoned01 | Edgardo Alfonzo
allench01 | Chad Allen
almanar01 | Armando Almanza
almanca01 | Carlos Almanzar
alomaro01 | Roberto Alomar
alomasa02 | Sandy Alomar Jr.
aloumo01 | Moises Alou
alvarab01 | Abe Alvarez
alvarto01 | Tony Alvarez
alvarwi01 | Wilson Alvarez
amezaal01 | Alfredo Amezaga
anderbr02 | Brian Anderson
anderga01 | Garret Anderson
anderja01 | Jason Anderson
anderji02 | Jimmy Anderson
anderma02 | Marlon Anderson
ankieri01 | Rick Ankiel
appieke01 | Kevin Appier
aquingr01 | Greg Aquino
ardoida01 | Danny Ardoin
armasto02 | Tony Armas Jr.
arroybr01 | Bronson Arroyo
ashbyan01 | Andy Ashby
astacpe01 | Pedro Astacio
atchisc01 | Scott Atchison
atkinga01 | Garrett Atkins
aurilri01 | Rich Aurilia
ausmubr01 | Brad Ausmus
ayalalu01 | Luis Ayala
backebr01 | Brandon Backe
bacsimi02 | Mike Bacsik
baekch01 | Cha Seung Baek
baergca01 | Carlos Baerga
baezda01 | Danys Baez
bagweje01 | Jeff Bagwell
bajenje01 | Jeff Bajenaru
bakopa01 | Paul Bako
baldero01 | Rocco Baldelli
baldwja01 | James Baldwin
balfogr01 | Grant Balfour
barajro01 | Rod Barajas
bardjo01 | Josh Bard
barmecl01 | Clint Barmes
barremi01 | Michael Barrett
bartlja01 | Jason Bartlett
bartocl01 | Cliff Bartosh
batismi01 | Miguel Batista
batisto01 | Tony Batista
bauerri01 | Rick Bauer
bautida01 | Danny Bautista
bautide01 | Denny Bautista
bautijo02 | Jose Bautista
bayja01 | Jason Bay
beckejo02 | Josh Beckett
beckro01 | Rod Beck
bedarer01 | Erik Bedard
beimejo01 | Joe Beimel
bellda01 | David Bell
bellhe01 | Heath Bell
bellhma01 | Mark Bellhorn
belliro01 | Ron Belliard
bellro01 | Rob Bell
beltrad01 | Adrian Beltre
beltrca01 | Carlos Beltran
beltrfr01 | Francis Beltran
beltrri01 | Rigo Beltran
benitar01 | Armando Benitez
bennega01 | Gary Bennett
benneje01 | Jeff Bennett
benoijo01 | Joaquin Benoit
bensokr01 | Kris Benson
bentzch01 | Chad Bentz
bergda01 | Dave Berg
bergebr01 | Brandon Berger
bergepe01 | Peter Bergeron
bergmdu01 | Dusty Bergman
berkmla01 | Lance Berkman
bernead01 | Adam Bernero
berroan01 | Angel Berroa
betanra01 | Rafael Betancourt
betemwi01 | Wilson Betemit
biddlro01 | Rocky Biddle
bierbni01 | Nick Bierbrodt
bigbila01 | Larry Bigbie
biggicr01 | Craig Biggio
blacktr01 | Travis Blackley
blakeca01 | Casey Blake
blaloha01 | Hank Blalock
blancan01 | Andres Blanco
blanche01 | Henry Blanco
blantjo01 | Joe Blanton
bloomwi01 | Willie Bloomquist
blumge01 | Geoff Blum
bocachi01 | Hiram Bocachica
boehrbr01 | Brian Boehringer
bondeje01 | Jeremy Bonderman
bondsba01 | Barry Bonds
bongju01 | Jung Bong
boonebr01 | Bret Boone
borchjo01 | Joe Borchard
bordepa01 | Pat Borders
borkoda01 | Dave Borkowski
borlato02 | Toby Borland
borowjo01 | Joe Borowski
bottari01 | Ricky Bottalico
bowenro01 | Rob Bowen
boydja02 | Jason Boyd
bradfch01 | Chad Bradford
bradlmi01 | Milton Bradley
braggda01 | Darren Bragg
branyru01 | Russ Branyan
brazecr01 | Craig Brazell
brazede01 | Dewon Brazelton
brazoyh01 | Yhency Brazoban
britoju01 | Juan Brito
brocado01 | Doug Brocail
brookfr01 | Frank Brooks
brousbe01 | Ben Broussard
broweji01 | Jim Brower
brownad01 | Adrian Brown
brownde02 | Dee Brown
brownja04 | Jamie Brown
brownke01 | Kevin Brown
brunebr01 | Brian Bruney
brunter01 | Eric Bruntlett
buchabr01 | Brian Buchanan
buckjo01 | John Buck
buehrma01 | Mark Buehrle
bukviry01 | Ryan Bukvich
bulliki01 | Kirk Bullinger
bumpna01 | Nate Bump
burbada01 | Dave Burba
burkech01 | Chris Burke
burkeja02 | Jamie Burke
burksel01 | Ellis Burks
burneaj01 | A.J. Burnett
burnese01 | Sean Burnett
burnije01 | Jeromy Burnitz
burrepa01 | Pat Burrell
burrose01 | Sean Burroughs
bushda01 | David Bush
bushho01 | Homer Bush
bynummi01 | Mike Bynum
byrdma01 | Marlon Byrd
byrdpa01 | Paul Byrd
byrneer01 | Eric Byrnes
cabreda01 | Daniel Cabrera
cabrefe01 | Fernando Cabrera
cabrejo02 | Jolbert Cabrera
cabremi01 | Miguel Cabrera
cabreor01 | Orlando Cabrera
cairomi01 | Miguel Cairo
calerki01 | Kiko Calero
calica01 | Carmen Cali
callami01 | Mickey Callaway
calloro01 | Ron Calloway
